single,singleLabel,releaseDate,genreLabel,performerLabel,citizenshipLabel,youtubeID,viewCountSample,lat,lon,latlon
http://www.wikidata.org/entity/Q116880617,TQG,2023-02-24T00:00:00Z,reggaeton,Shakira,Spain,jZGpkLElSu8,453187300,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q116176478,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11T00:00:00Z,electropop,Shakira,Colombia,CocEMWdc7Ck,301212284,4,-73.25,"4, -73.25"
http://www.wikidata.org/entity/Q115945493,Flowers,2023-01-12T00:00:00Z,pop music,Miley Cyrus,United States of America,G7KNmW9a75Y,199506813,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120682483,Seven,2023-07-14T00:00:00Z,pop music,Latto,United States of America,QU9c0053UAU,197908643,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q121075075,Classy 101,2023-03-30T00:00:00Z,reggaeton,Young Miko,United States of America,cD5T1Y4b7wA,185982981,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q123353290,Según quién,2023-08-17T00:00:00Z,regional Mexican,Carín León,Mexico,69lO08ar-mI,131838765,23,-102,"23, -102"
http://www.wikidata.org/entity/Q125851621,Pa Ti,2023-06-16T00:00:00Z,reggaeton,6ix9ine,United States of America,sCyCQ8KLIM0,121228494,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q117848252,Chanel,2023-03-30T00:00:00Z,regional Mexican,Becky G,United States of America,b2wQtu9YnWk,103800509,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120638205,What Was I Made For?,2023-07-13T00:00:00Z,pop music,Billie Eilish,United States of America,cW8VLC9nnTo,102825371,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q125851048,Bori,2023-03-31T00:00:00Z,reggaeton,6ix9ine,United States of America,ZLLcxNiQ9Yg,86287992,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q115706733,Kill Bill,2023-01-10T00:00:00Z,pop music,SZA,United States of America,MSRcC626prw,65640889,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q123273186,Houdini,2023-11-10T00:00:00Z,pop music,Dua Lipa,United Kingdom,suAR1PYFNYA,56539133,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q122155783,Love Me Again,2023-08-10T00:00:00Z,contemporary R&B,V,South Korea,HYzyRHAHJl8,53673419,36,128,"36, 128"
http://www.wikidata.org/entity/Q116824945,Last Night,2023-02-06T00:00:00Z,country pop,Morgan Wallen,United States of America,bUjPPBxbQrQ,48832477,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q121472334,Rich Men North of Richmond,2023-08-07T00:00:00Z,country music,Oliver Anthony,United States of America,sqSA-SY5Hro,48261592,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120872185,Vagabundo,2023-05-11T00:00:00Z,merengue,Sebastián Yatra,Spain,0J1hIERZ1yA,45603382,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q125851677,Dueño,2023-06-23T00:00:00Z,reggaeton,6ix9ine,United States of America,ozpihPPC7Jk,44982320,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q130420616,Madrid City,2023-09-29T00:00:00Z,pop music,Ana Mena,Spain,sh2lLZBnrfA,38748582,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q121047067,Desire,2023-07-28T00:00:00Z,trance,Calvin Harris,Scotland,1JPNFp0f53I,37966572,57,-5,"57, -5"
http://www.wikidata.org/entity/Q123417214,Chupón,2023-08-26T00:00:00Z,Urbano,Yeri Mua,Mexico,LPoKmpVLYuA,31258230,23,-102,"23, -102"
http://www.wikidata.org/entity/Q125395627,Teach Me How To Drill,2023-12-21T00:00:00Z,Brooklyn drill,Fivio Foreign,United States of America,fW1QcEAy4rg,29377121,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q125851221,Wapae,2023-04-15T00:00:00Z,reggaeton,6ix9ine,United States of America,IB1KQhbGtiM,27977428,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q118948175,Baby Don't Hurt Me,2023-04-06T00:00:00Z,electro house,Coi Leray,United States of America,k3DBmAlUh1A,26301631,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q122831879,Slow Dancing (song),2023-09-08T00:00:00Z,soul,V,South Korea,eI0iTRS0Ha8,25629032,36,128,"36, 128"
http://www.wikidata.org/entity/Q119033760,Making My Way,2023-05-05T00:00:00Z,moombahton,Sơn Tùng M-TP,Vietnam,niPkap1ozUA,25597570,16,108,"16, 108"
http://www.wikidata.org/entity/Q118358895,Bailar contigo,2023-03-10T00:00:00Z,pop music,Daddy Yankee,United States of America,heihCpHHjbA,24132393,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120459946,I Can See You,2023-07-07T00:00:00Z,indie rock,Taylor Swift,United States of America,lVkKLf4DCn8,21374232,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q122759094,Chico,2023-08-29T00:00:00Z,bossa nova,Luísa Sonza,Brazil,JQgH5RiGAeg,21363281,-14,-53,"-14, -53"
http://www.wikidata.org/entity/Q118697941,Dance the Night,2023-05-25T00:00:00Z,pop music,Dua Lipa,United Kingdom,OiC1rgCPmUQ,21118226,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q129234007,Boss,2023-03-24T00:00:00Z,trap music,Tony Effe,Italy,3cn6wQaLkeQ,19855380,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117302366,Beso,2023-03-24T00:00:00Z,reggaeton,Rosalía,Spain,QXQQAsIhHMw,18323429,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q123412052,Cobra,2023-11-03T00:00:00Z,rap rock,Megan Thee Stallion,United States of America,DOZNRoL0310,17523383,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q118316199,Daylight,2023-04-14T00:00:00Z,gothic rock,David Kushner,United States of America,MoN9ql6Yymw,17148596,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q116969364,On the Street,2023-03-03T00:00:00Z,lofi hip hop,J. Cole,United States of America,r6WbbU_lLCA,16402708,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q114805013,Karma,2023-05-01T00:00:00Z,disco,Taylor Swift,United States of America,XzOvgu3GPwY,15547925,39.828175,-98.5795,"39.828175, -98.5795"
